title,box_off_num
무뢰한,2026496.86
간신,2184038.76
연애의 맛,230273.83
잡식가족의 딜레마,22438.98
플랑크 상수,563.35
장수상회,814878.8
파울볼,36816.9
춘희막이,299855.51
덫: 치명적인 유혹,2832.53
션샤인 러브,160824.81
사도,4405969.41
돼지 같은 여자,945003.76
사랑이 이긴다,70324.54
슈퍼레이서 엔지,248874.48
제 7기사단,1052.55
고백,80.53
미쓰 와이프,2704784.38
위로공단,8639.16
베테랑,4237306.29
악인은 살아 있다,11406.84
쓰리 썸머 나잇,464131.64
마돈나,250258.67
"나의 아들, 나의 어머니",4028.5
슬픈남자,23.85
타이밍,19398.67
타투,67500.36
어떤이의 꿈,507.8
해에게서 소년에게,18146.53
울보 권투부,2940.72
어떤살인,72722.35
말하지 못한 비밀,8840.77
조선안방 스캔들-칠거지악 2,699.44
